station,hour,value
1030,16,28
1030,17,36
1030,18,38
1030,19,40
1030,20,54
1030,21,27
1030,22,7
1030,23,0
1031,24,31
1031,1,28
1031,2,15
1031,3,3
1031,4,2
1031,5,5
1031,6,24
1031,7,65
1031,8,38
1031,9,42
1031,10,53
1031,11,74
1031,12,73
1031,13,50
1031,14,44
1031,15,59
1031,16,45
1031,17,86
1031,18,66
1031,19,47
1031,20,55
1031,21,36
1031,22,40
1031,23,24
1032,24,17
1032,1,17
1032,2,10
1032,3,2
1032,4,15
1032,5,106
1032,6,37
1032,7,72
1032,8,288
1032,9,132
1032,10,101
1032,11,80
1032,12,82
1032,13,71
1032,14,91
1032,15,69
1032,16,76
1032,17,70
1032,18,82
1032,19,80
1032,20,57
1032,21,42
1032,22,34
1032,23,36
1033,24,49
1033,1,34
1033,2,29
1033,3,5
1033,4,4
1033,5,45
1033,6,27
1033,7,53
1033,8,192
1033,9,119
1033,10,142
1033,11,173
1033,12,174
1033,13,151
1033,14,160
1033,15,169
1033,16,170
1033,17,183
1033,18,162
1033,19,185
1033,20,155
1033,21,106
1033,22,85
1033,23,58
1034,24,24
1034,1,15
1034,2,8
1034,3,5
1034,4,6
1034,5,1
1034,6,3
1034,7,35
1034,8,201
1034,9,84
1034,10,69
1034,11,91
1034,12,134
1034,13,92
1034,14,107
1034,15,132
1034,16,124
1034,17,178
1034,18,146
1034,19,137
1034,20,96
1034,21,64
1034,22,44
1034,23,25
1035,24,17
1035,1,18
1035,2,10
1035,3,7
1035,4,7
1035,5,7
1035,6,3
1035,7,12
1035,8,25
1035,9,57
1035,10,64
1035,11,93
1035,12,146
1035,13,94
1035,14,133
1035,15,125
1035,16,214
1035,17,288
1035,18,142
1035,19,136
1035,20,86
1035,21,82
1035,22,46
1035,23,32
1036,24,43
1036,1,31
1036,2,24
1036,3,6
1036,4,0
1036,5,1
1036,6,15
1036,7,8
1036,8,22
1036,9,39
1036,10,72
1036,11,114
1036,12,148
1036,13,191
1036,14,204
1036,15,238
1036,16,260
1036,17,279
1036,18,239
1036,19,208
1036,20,149
1036,21,99
1036,22,65
1036,23,78
1037,24,28
1037,1,19
1037,2,10
1037,3,12
1037,4,3
1037,5,3
1037,6,3
1037,7,19
1037,8,5
1037,9,24
1037,10,32
1037,11,52
1037,12,89
1037,13,118
1037,14,144
1037,15,135
1037,16,161
1037,17,257
1037,18,173
1037,19,155
1037,20,103
1037,21,61
1037,22,42
1037,23,30
1038,24,9
1038,1,4
1038,2,4
1038,3,1
1038,4,6
1038,5,13
1038,6,24
1038,7,128
1038,8,348
1038,9,293
1038,10,241
1038,11,183
1038,12,166
1038,13,138
1038,14,178
1038,15,131
1038,16,117
1038,17,133
1038,18,123
1038,19,101
1038,20,109
1038,21,55
1038,22,26
1038,23,18
1039,24,33
1039,1,33
1039,2,18
1039,3,5
1039,4,0
1039,5,9
1039,6,55
1039,7,53
1039,8,95
1039,9,72
1039,10,77
1039,11,71
1039,12,105
1039,13,101
1039,14,122
1039,15,115
1039,16,119
1039,17,106
1039,18,122
1039,19,86
1039,20,82
1039,21,48
1039,22,49
1039,23,45
1040,24,36
1040,1,32
1040,2,28
1040,3,23
1040,4,3
1040,5,1
1040,6,11
1040,7,19
1040,8,31
1040,9,69
1040,10,83
1040,11,100
1040,12,108
1040,13,107
1040,14,147
1040,15,158
1040,16,148
1040,17,202
1040,18,139
1040,19,138
1040,20,101
1040,21,86
1040,22,47
1040,23,49
1041,24,40
1041,1,37
1041,2,35
1041,3,20
1041,4,4
1041,5,8
1041,6,10
1041,7,65
1041,8,23
1041,9,40
1041,10,70
1041,11,121
1041,12,145
1041,13,191
1041,14,255
1041,15,286
1041,16,384
1041,17,408
1041,18,273
1041,19,246
1041,20,150
1041,21,115
1041,22,78
1041,23,76
1042,24,0
1042,1,3
1042,2,0
1042,3,0
1042,4,0
1042,5,1
1042,6,2
1042,7,1
1042,8,29
1042,9,22
1042,10,37
1042,11,27
1042,12,16
1042,13,14
1042,14,21
1042,15,24
1042,16,12
1042,17,30
1042,18,20
1042,19,14
1042,20,14
1042,21,3
1042,22,0
1042,23,2
1043,24,6
1043,1,9
1043,2,6
1043,3,3
1043,4,0
1043,5,0
1043,6,3
1043,7,21
1043,8,30
1043,9,31
1043,10,41
1043,11,60
1043,12,54
1043,13,73
1043,14,61
1043,15,68
1043,16,125
1043,17,162
1043,18,86
1043,19,54
1043,20,37
