station,hour,value
1016,17,31
1017,17,94
1018,17,19
1019,17,36
1020,17,40
1021,17,18
1022,17,13
1023,17,30
1024,17,15
1025,17,4
1026,17,18
1027,17,10
1028,17,39
1029,17,24
1030,17,9
1031,17,23
1032,17,12
1033,17,30
1034,17,31
1035,17,90
1036,17,50
1037,17,63
1038,17,32
1039,17,19
1040,17,47
1041,17,65
1042,17,8
1043,17,36
1044,17,16
1045,17,106
1046,17,44
1047,17,46
1048,17,75
1049,17,32
1050,17,22
1051,17,0
1000,18,151
1001,18,119
1002,18,62
1003,18,31
1004,18,43
1005,18,25
1006,18,40
1007,18,23
1008,18,24
1009,18,48
1010,18,75
1011,18,41
1012,18,52
1013,18,69
1014,18,26
1015,18,29
1016,18,47
1017,18,73
1018,18,37
1019,18,31
1020,18,44
1021,18,19
1022,18,32
1023,18,18
1024,18,19
1025,18,13
1026,18,12
1027,18,10
1028,18,23
1029,18,19
1030,18,9
1031,18,14
1032,18,16
1033,18,34
1034,18,36
1035,18,35
1036,18,59
1037,18,64
1038,18,21
1039,18,21
1040,18,30
1041,18,63
1042,18,14
1043,18,12
1044,18,20
1045,18,157
1046,18,46
1047,18,59
1048,18,57
1049,18,66
1050,18,9
1051,18,0
1000,19,108
1001,19,77
1002,19,22
1003,19,41
1004,19,13
1005,19,22
1006,19,26
1007,19,13
1008,19,24
1009,19,42
1010,19,60
1011,19,38
1012,19,61
1013,19,57
1014,19,36
1015,19,42
1016,19,20
1017,19,67
1018,19,25
1019,19,30
1020,19,25
1021,19,11
1022,19,26
1023,19,19
1024,19,20
1025,19,8
1026,19,16
1027,19,18
1028,19,16
1029,19,23
1030,19,9
1031,19,13
1032,19,20
1033,19,49
1034,19,26
1035,19,38
1036,19,50
1037,19,48
1038,19,16
1039,19,27
1040,19,21
1041,19,44
1042,19,2
1043,19,21
1044,19,10
1045,19,114
1046,19,22
1047,19,44
1048,19,55
1049,19,45
1050,19,5
1051,19,0
1000,20,73
1001,20,54
1002,20,16
1003,20,12
1004,20,4
1005,20,11
1006,20,14
1007,20,20
1008,20,5
1009,20,13
1010,20,31
1011,20,39
1012,20,59
1013,20,48
1014,20,13
1015,20,9
1016,20,16
1017,20,35
1018,20,13
1019,20,19
1020,20,14
1021,20,17
1022,20,14
1023,20,15
1024,20,16
1025,20,8
1026,20,15
1027,20,5
1028,20,25
1029,20,17
1030,20,3
1031,20,6
1032,20,10
1033,20,34
1034,20,12
1035,20,24
1036,20,28
1037,20,48
1038,20,19
1039,20,14
1040,20,27
1041,20,19
1042,20,10
1043,20,16
1044,20,8
1045,20,57
1046,20,11
1047,20,17
1048,20,52
1049,20,27
1050,20,0
1051,20,0
1000,21,100
1001,21,40
1002,21,5
1003,21,5
1004,21,10
1005,21,10
1006,21,5
1007,21,12
1008,21,6
1009,21,9
1010,21,23
1011,21,19
1012,21,27
1013,21,41
1014,21,8
1015,21,6
1016,21,9
1017,21,16
1018,21,6
1019,21,12
1020,21,7
1021,21,6
1022,21,14
1023,21,6
1024,21,8
1025,21,5
1026,21,15
1027,21,3
1028,21,27
1029,21,9
1030,21,5
1031,21,5
1032,21,2
1033,21,11
1034,21,11
1035,21,36
